,seq_len,n_units,learning rate,MASE,SMAPE
0,30,60,0.0005,{'mase': 220.67273097888133},{'smape': 0.26187478353986576}
1,30,60,0.001,{'mase': 338.1017585245679},{'smape': 0.3409349398928281}
2,30,60,0.005,{'mase': 320.4299758785949},{'smape': 0.32783758024677817}
3,30,120,0.0005,{'mase': 294.0288721165852},{'smape': 0.3578066782358424}
4,30,120,0.001,{'mase': 221.4776605793795},{'smape': 0.2475840731588468}
5,30,120,0.005,{'mase': 401.27623375691263},{'smape': 0.38795243682232117}
6,30,180,0.0005,{'mase': 289.8953428696759},{'smape': 0.327905418717269}
7,30,180,0.001,{'mase': 345.9573722257639},{'smape': 0.3622791467978724}
8,30,180,0.005,{'mase': 422.4000101106804},{'smape': 0.40308347655824633}
9,60,60,0.0005,{'mase': 148.76395921414047},{'smape': 0.18021586619338428}
10,60,60,0.001,{'mase': 215.60611353428828},{'smape': 0.2686339343449397}
11,60,60,0.005,{'mase': 234.3081098307053},{'smape': 0.2611331995188764}
12,60,120,0.0005,{'mase': 309.24635016052025},{'smape': 0.3115172012115003}
13,60,120,0.001,{'mase': 198.3442214200518},{'smape': 0.24346864461276835}
14,60,120,0.005,{'mase': 238.08831727166074},{'smape': 0.26078596185158803}
15,60,180,0.0005,{'mase': 347.7219479595479},{'smape': 0.47668148464411725}
16,60,180,0.001,{'mase': 255.63174830635697},{'smape': 0.32521238289594157}
17,60,180,0.005,{'mase': 386.90935100964697},{'smape': 0.38043117053724845}
18,90,60,0.0005,{'mase': 175.19005912522866},{'smape': 0.21852508635350185}
19,90,60,0.001,{'mase': 389.1176100684388},{'smape': 0.5731670410201346}
20,90,60,0.005,{'mase': 185.3448486474212},{'smape': 0.23106763246796108}
21,90,120,0.0005,{'mase': 163.11563298392676},{'smape': 0.20459650118386782}
22,90,120,0.001,{'mase': 271.0691456237619},{'smape': 0.3857610598132149}
23,90,120,0.005,{'mase': 390.89569165888264},{'smape': 0.5977616565501145}
24,90,180,0.0005,{'mase': 233.81094123029214},{'smape': 0.3089317676584851}
25,90,180,0.001,{'mase': 238.62184428692484},{'smape': 0.3050282318850767}
26,90,180,0.005,{'mase': 207.21223975648738},{'smape': 0.24673268874079415}
