,lstm_mase_forecast_power,lstm_smape_forecast_power,lstmmse_forecast_power
0,{'mase': 2.0694717414615984},{'smape': 0.15413117850584837},158.07060062330072
1,{'mase': 1.981023740607865},{'smape': 0.14557268857045563},145.13635157902516
2,{'mase': 1.7885904307657792},{'smape': 0.13140677100400927},120.99985714711367
3,{'mase': 1.6118229403495623},{'smape': 0.11844546199812492},101.54285685290309
4,{'mase': 1.3547067580946688},{'smape': 0.09982459138397579},82.019956270929
5,{'mase': 1.1750672705509684},{'smape': 0.08664614519714824},68.82152085996997
6,{'mase': 1.2420265270336281},{'smape': 0.09327893629195019},73.23684863381027
7,{'mase': 1.2301342018752806},{'smape': 0.09272421475485351},70.1507699788059
8,{'mase': 1.1707977235962297},{'smape': 0.08819184385671916},64.34343680872185
9,{'mase': 1.2737378632295555},{'smape': 0.09436629300795821},75.776265610551
10,{'mase': 1.2177841459619432},{'smape': 0.09024678791718124},70.34135500200006
11,{'mase': 1.1262682472254224},{'smape': 0.08347885995094578},64.52356640351671
12,{'mase': 1.1414834962752853},{'smape': 0.08520277070620765},64.53767844617462
13,{'mase': 1.1446635262784217},{'smape': 0.08591435757727417},63.636154680302134
14,{'mase': 1.1212163092970322},{'smape': 0.08435832954484992},60.94091395504658
15,{'mase': 1.1931914701646043},{'smape': 0.09075395706047795},69.04841346864862
16,{'mase': 1.1783792249390428},{'smape': 0.0897766910471757},66.91078946561349
17,{'mase': 1.1692844019792346},{'smape': 0.08931624953141742},65.30463259249626
18,{'mase': 1.1242332335846343},{'smape': 0.08587710466718146},62.058238131650626
19,{'mase': 1.1157415608483585},{'smape': 0.0851384752209523},60.636305788159724
20,{'mase': 1.0771364938745085},{'smape': 0.0822242957740154},57.91239771851279
21,{'mase': 1.0329843573487811},{'smape': 0.07887727225832317},55.298791288339885
22,{'mase': 1.0293908402436218},{'smape': 0.07906693880021794},54.34379034738003
23,{'mase': 0.9910634328125102},{'smape': 0.07616189197193585},52.09791644652486
24,{'mase': 0.9890330778988079},{'smape': 0.07622924610987847},51.31935573487235
25,{'mase': 0.977513312227039},{'smape': 0.07547738066546013},50.02045314022142
26,{'mase': 0.9587366977303848},{'smape': 0.07420402803012129},48.4705131441904
27,{'mase': 0.9380170559956803},{'smape': 0.07270904521216039},46.92835503480443
28,{'mase': 1.0196796752091208},{'smape': 0.07868997958016882},59.22248833611008
29,{'mase': 1.0353085622537932},{'smape': 0.08022368520404521},59.974466074572305
30,{'mase': 1.096458215415336},{'smape': 0.08541165368418063},68.26770139324069
31,{'mase': 1.150369503855571},{'smape': 0.0900600508817195},75.31721064777498
32,{'mase': 1.171159473177107},{'smape': 0.09202810237315029},76.8068616147959
33,{'mase': 1.1645864348061852},{'smape': 0.0916372040105774},75.52276394254154
34,{'mase': 1.1634809161857633},{'smape': 0.09161765359657464},74.70174558969589
35,{'mase': 1.1504837303005218},{'smape': 0.09078241248538939},73.12274867629547
36,{'mase': 1.1549553892336513},{'smape': 0.09124146556291714},72.87388462495666
37,{'mase': 1.1582348691138378},{'smape': 0.09161563338582586},72.54645562978357
38,{'mase': 1.1474605110289398},{'smape': 0.090791501855751},71.20178131122361
39,{'mase': 1.1345277662858981},{'smape': 0.08985878264152469},69.7881406929227
40,{'mase': 1.1357741851704393},{'smape': 0.09027556509486238},69.3514465287973
41,{'mase': 1.1175264744449025},{'smape': 0.08889466883719298},67.82011839302702
42,{'mase': 1.1076044743227476},{'smape': 0.08821242706338826},66.6526099684258
43,{'mase': 1.0885514105130458},{'smape': 0.08671974027966227},65.19859919223435
44,{'mase': 1.1050519888514891},{'smape': 0.08834638691202218},66.4997400979889
45,{'mase': 1.1035338472268985},{'smape': 0.0882854856786629},65.91397233133284
46,{'mase': 1.110768165861169},{'smape': 0.08902099013648032},66.14796956442488
47,{'mase': 1.1134536674232751},{'smape': 0.0894316222953206},65.95157935163887
48,{'mase': 1.104030747103453},{'smape': 0.0887659116661481},64.92557099194796
49,{'mase': 1.1311002006138198},{'smape': 0.09164059950996453},68.08516066422226
50,{'mase': 1.136882956080515},{'smape': 0.0923152457618413},68.22183710507383
51,{'mase': 1.1267892556995514},{'smape': 0.09152471305592963},67.1757348736821
52,{'mase': 1.1288023329520314},{'smape': 0.09182240042172056},66.96781991878736
53,{'mase': 1.149396384311798},{'smape': 0.09388865291886764},69.15989846653231
54,{'mase': 1.1491283376566974},{'smape': 0.09390170187070307},68.76641050763756
55,{'mase': 1.1708961552320591},{'smape': 0.09621924155379692},71.23462141002325
56,{'mase': 1.2133545472399954},{'smape': 0.10164762055982127},78.33502905748328
57,{'mase': 1.253337041452408},{'smape': 0.10713505291855534},84.92457430664561
58,{'mase': 1.2695565224292402},{'smape': 0.10930213127931912},86.54134067364325
59,{'mase': 1.2666233295416909},{'smape': 0.10925714862270959},85.83463239425457
60,{'mase': 1.2658805873585688},{'smape': 0.10942524455390983},85.33003029981376
61,{'mase': 1.2769965035302087},{'smape': 0.11098593915894878},86.22917059303013
62,{'mase': 1.2961420297872444},{'smape': 0.11354147373457722},88.47290757194482
63,{'mase': 1.2955745544258348},{'smape': 0.11382655888179677},88.00583478185382
64,{'mase': 1.320952277289436},{'smape': 0.11742598724420794},91.5771270403151
65,{'mase': 1.3399960055114508},{'smape': 0.12030359140520425},93.90579609804928
66,{'mase': 1.366831861214644},{'smape': 0.12411117705834157},97.92875021745674
67,{'mase': 1.40391580237072},{'smape': 0.1286891445397377},104.6958400711557
68,{'mase': 1.4559208351111823},{'smape': 0.13458122760470415},116.50996800601736
69,{'mase': 1.4889600223425195},{'smape': 0.13775533410221422},122.33427730827194
70,{'mase': 1.4792679682415855},{'smape': 0.13677344608616698},120.94464518205255
71,{'mase': 1.4663218912814606},{'smape': 0.1355389430219924},119.41832481071657
72,{'mase': 1.4570628207617462},{'smape': 0.13472968459137025},118.0983315050096
73,{'mase': 1.4517447974761504},{'smape': 0.13436775576486368},117.06656362270637
74,{'mase': 1.460367159439021},{'smape': 0.1356274736511433},117.67266178989996
75,{'mase': 1.451854993745414},{'smape': 0.1349486856406833},116.44568248717825
76,{'mase': 1.450291904431456},{'smape': 0.13498291349349775},115.78321015324899
77,{'mase': 1.4617176868849873},{'smape': 0.13649098444035024},116.89314850758055
78,{'mase': 1.4551356345981044},{'smape': 0.1359208717868405},115.82783427468308
79,{'mase': 1.472998275245039},{'smape': 0.1381991630375384},118.21773575668017
80,{'mase': 1.4808523609683906},{'smape': 0.13918868764803177},118.7853521374079
81,{'mase': 1.4828518437243592},{'smape': 0.13953376743940746},118.55447648172282
82,{'mase': 1.4928225336826135},{'smape': 0.14087154179875916},119.49986077532238
83,{'mase': 1.5068388657052194},{'smape': 0.14283067111286027},121.21008367185047
84,{'mase': 1.5146388630654442},{'smape': 0.14390294422025923},121.82849142478204
85,{'mase': 1.543814915425268},{'smape': 0.14792726653028246},127.36055073341561
86,{'mase': 1.560705867362776},{'smape': 0.15056303107227856},129.74880439642342
87,{'mase': 1.576920537067687},{'smape': 0.1533188835249387},132.01801697758088
88,{'mase': 1.5860136183612108},{'smape': 0.15514696867472869},132.89600132573116
89,{'mase': 1.5896340775467857},{'smape': 0.1562000535519787},132.91837098885318
90,{'mase': 1.6038899222865606},{'smape': 0.15893785183883793},134.83805678551218
91,{'mase': 1.6189023955145585},{'smape': 0.16150249111175138},136.94715912779296
92,{'mase': 1.6380049047697576},{'smape': 0.1643927888533258},140.05012257498723
93,{'mase': 1.656586645448678},{'smape': 0.16746162278611185},143.05845455267564
94,{'mase': 1.681577835950261},{'smape': 0.1713032462881976},147.86476321229986
95,{'mase': 1.712344481522302},{'smape': 0.17621135605611563},154.58475101397707
96,{'mase': 1.739227744807516},{'smape': 0.18040884308437566},160.09229527735297
97,{'mase': 1.7428567334157918},{'smape': 0.1810480317897124},160.1114970178093
98,{'mase': 1.7809859295453994},{'smape': 0.187137724004357},169.84443332141186
99,{'mase': 1.8146021511120773},{'smape': 0.19213343317890635},177.90708773133335
100,{'mase': 1.843622353259399},{'smape': 0.1967497957838011},184.3756443316764
101,{'mase': 1.8841547566843533},{'smape': 0.20388452692906842},195.49906373003077
102,{'mase': 1.9269329821044932},{'smape': 0.2115329601576096},207.77979651518095
103,{'mase': 1.9762068976807774},{'smape': 0.22001520296058555},223.42813163145553
104,{'mase': 2.0172834077458175},{'smape': 0.2259876288783824},235.20421896411185
105,{'mase': 2.0539251786342425},{'smape': 0.23104630974226006},245.11145979276094
106,{'mase': 2.073553836179732},{'smape': 0.23358145224397575},248.77349455156715
107,{'mase': 2.100323029827509},{'smape': 0.23755313154848393},254.89331657228811
108,{'mase': 2.1206030778579708},{'smape': 0.24044867343843723},258.84745465107034
109,{'mase': 2.129490389412365},{'smape': 0.24183838749302639},259.7150682919086
110,{'mase': 2.1541462462295518},{'smape': 0.24598378833351137},265.24946495205194
