,rnn_mase_forecast_power,rnn_smape_forecast_power,rnn_mse_forecast_power
0,{'mase': 0.9246251812034562},{'smape': 0.06640896499553811},31.26939623568415
1,{'mase': 1.5827322397659394},{'smape': 0.1188754409605261},107.46354195057665
2,{'mase': 1.8978235178059306},{'smape': 0.15249560931353046},149.55771166363962
3,{'mase': 2.354958333797796},{'smape': 0.19415028860202255},239.13747869155185
4,{'mase': 2.046420650313339},{'smape': 0.16985531235686066},196.13632565900684
5,{'mase': 1.8997909722868924},{'smape': 0.1565313636065144},171.7437726017633
6,{'mase': 1.767078271746662},{'smape': 0.14436670249752662},152.13332201505824
7,{'mase': 1.8144619773500001},{'smape': 0.1444801994539113},154.1746453070461
8,{'mase': 1.6477566016011371},{'smape': 0.1309254860728059},137.44510622057544
9,{'mase': 1.5173527233993578},{'smape': 0.12043882414768284},124.1327045632775
10,{'mase': 1.451308899059242},{'smape': 0.11533919432381427},114.92763662506086
11,{'mase': 1.3563826202602014},{'smape': 0.10788129782877555},105.64740146255814
12,{'mase': 1.4393155917226714},{'smape': 0.11643201875992452},114.19576208625017
13,{'mase': 1.3647796583152},{'smape': 0.11062049639963267},106.44821951753612
14,{'mase': 1.3254869618990905},{'smape': 0.10732573676587666},100.81767889333538
15,{'mase': 1.3635923317123544},{'smape': 0.10994577791703447},103.07724215003147
16,{'mase': 1.294608967989976},{'smape': 0.10433762606641968},97.09226089871356
17,{'mase': 1.320520510367818},{'smape': 0.10601938039002806},97.99972492307207
18,{'mase': 1.4332374254779816},{'smape': 0.11667784854153196},115.91590033960829
19,{'mase': 1.4678526619806418},{'smape': 0.1201975622617177},118.3823311881724
20,{'mase': 1.405470725950968},{'smape': 0.11516259938426325},112.78846396634565
21,{'mase': 1.349352333364711},{'smape': 0.11058591566744233},107.71025299884268
22,{'mase': 1.3370098200607932},{'smape': 0.109614714567514},104.83248600868929
23,{'mase': 1.3433524788322262},{'smape': 0.11029622610220757},103.84435459876958
24,{'mase': 1.3248762573000628},{'smape': 0.10914154877426684},100.8272663420018
25,{'mase': 1.3262001120902867},{'smape': 0.10974534524083854},99.5485154224406
26,{'mase': 1.4908337124145965},{'smape': 0.12310488248780084},140.98188646268002
27,{'mase': 1.5811144681988716},{'smape': 0.13208487748712366},157.04281575388524
28,{'mase': 1.6783241333776537},{'smape': 0.14073979994920272},176.04687718064125
29,{'mase': 1.6928093783799731},{'smape': 0.14169838508099597},175.621380189893
30,{'mase': 1.692811997063193},{'smape': 0.14168682958593412},173.33747465733384
31,{'mase': 1.6514134646009078},{'smape': 0.13816117315939705},168.07551485022034
32,{'mase': 1.6072469338087128},{'smape': 0.1344231237950309},163.0239959472966
33,{'mase': 1.5838553130344468},{'smape': 0.1325625617176415},158.93833861165623
34,{'mase': 1.622171768764472},{'smape': 0.1360641844644826},163.33752581421086
35,{'mase': 1.6708168010929656},{'smape': 0.14069282622920873},170.36200879267972
36,{'mase': 1.6728975570625981},{'smape': 0.1408391438599213},168.77738687584954
37,{'mase': 1.654555347305538},{'smape': 0.13927165304006833},165.25253811653076
38,{'mase': 1.662808700542576},{'smape': 0.1400961458017773},164.6787313043756
39,{'mase': 1.649641955287666},{'smape': 0.1389849978227779},161.74206008187886
40,{'mase': 1.6143463972780103},{'smape': 0.13602814878962616},157.83372138704945
41,{'mase': 1.624385491086958},{'smape': 0.1372569987187213},157.68562477328845
42,{'mase': 1.5976613111137798},{'smape': 0.13508643184742283},154.21062958362202
43,{'mase': 1.5638058704974236},{'smape': 0.13222628778940015},150.7155422488453
44,{'mase': 1.5476555452715104},{'smape': 0.1309058164315673},147.93577603407508
45,{'mase': 1.5732996063052238},{'smape': 0.1329221177345497},150.63390150398564
46,{'mase': 1.5821882537726948},{'smape': 0.1335686126437287},150.51397106713668
47,{'mase': 1.6263498987580438},{'smape': 0.13765077250290905},157.82082930961602
48,{'mase': 1.616630002149284},{'smape': 0.13693277999647974},155.58728584824257
49,{'mase': 1.600443467898945},{'smape': 0.1356236236478379},152.952291538116
50,{'mase': 1.579344214569722},{'smape': 0.13392833494265974},150.15042920784904
51,{'mase': 1.5951468172948697},{'smape': 0.13549689061593354},151.31798536600067
52,{'mase': 1.6086873577918155},{'smape': 0.13639419640464548},152.1542887828818
53,{'mase': 1.6443183366242609},{'smape': 0.13970331010216847},157.7898419258782
54,{'mase': 1.691655890873299},{'smape': 0.14554611013516075},166.92063887014976
55,{'mase': 1.7335204712346632},{'smape': 0.15123694312013125},174.57932785834782
56,{'mase': 1.751937142903861},{'smape': 0.15360207428544528},176.48730751013306
57,{'mase': 1.800949685687289},{'smape': 0.1575262509146312},186.75716437342678
58,{'mase': 1.8664017132396162},{'smape': 0.16254449436410148},203.4696912990111
59,{'mase': 1.9430830866834943},{'smape': 0.16898802621179917},225.57502996433064
60,{'mase': 1.984382153482344},{'smape': 0.17342116649645645},233.81643069114628
61,{'mase': 1.968582973365132},{'smape': 0.17233496727993297},230.64083787805956
62,{'mase': 1.9653909252541502},{'smape': 0.17314579176842945},228.79354236559038
63,{'mase': 1.9699361221549343},{'smape': 0.1747090528866075},228.12798863539666
64,{'mase': 1.9883261295741808},{'smape': 0.1778161318145818},230.25601062325052
65,{'mase': 2.018757912505468},{'smape': 0.1818381973425339},235.61994769071924
66,{'mase': 2.0682293947466266},{'smape': 0.18747811116959376},247.63113424176487
67,{'mase': 2.0938331593845523},{'smape': 0.18999437357804502},251.79437406200722
68,{'mase': 2.080026271138494},{'smape': 0.18876505911547042},248.83546871436576
69,{'mase': 2.0838148676688153},{'smape': 0.18940875495031895},248.15449881437328
70,{'mase': 2.086898806632767},{'smape': 0.1904117136448425},247.39106074519677
71,{'mase': 2.089229689718854},{'smape': 0.1915695622690418},246.53758096627482
72,{'mase': 2.065751167843629},{'smape': 0.18959040165517754},243.23092325392545
73,{'mase': 2.055148304587434},{'smape': 0.18902425593017128},240.75525842842413
74,{'mase': 2.0428382705076147},{'smape': 0.18828217432307257},238.1699861559096
75,{'mase': 2.0288077909759465},{'smape': 0.1872947695732571},235.49509182558407
76,{'mase': 2.0030822581292234},{'smape': 0.1849252900926505},232.43780577442243
77,{'mase': 1.9997395198615209},{'smape': 0.18517374502693937},230.88135354537167
78,{'mase': 1.9846235132734213},{'smape': 0.1840670848269583},228.259254926992
79,{'mase': 1.9804078874600954},{'smape': 0.18427275295189066},226.6467576818893
80,{'mase': 1.9634859624630676},{'smape': 0.1828931666970597},224.0165226386342
81,{'mase': 1.94761829932389},{'smape': 0.18170204932592507},221.48028789822212
82,{'mase': 1.9303950934483292},{'smape': 0.1802963444008847},218.9301340299252
83,{'mase': 1.9098022901859957},{'smape': 0.17852731370718508},216.3413443160103
84,{'mase': 1.9091969104976154},{'smape': 0.180344010820183},215.2821618943539
85,{'mase': 1.9083275089963678},{'smape': 0.18233541957436666},214.21005070412951
86,{'mase': 1.9091701731040522},{'smape': 0.18446090215718872},213.39875551073374
87,{'mase': 1.9095956923108026},{'smape': 0.1862111842774382},212.5487159162477
88,{'mase': 1.903363433571105},{'smape': 0.1871472624407408},210.9149741616081
89,{'mase': 1.8972335863303567},{'smape': 0.18783957333863424},209.31396552922985
90,{'mase': 1.8891599102407572},{'smape': 0.18804045874882117},207.55700509670092
91,{'mase': 1.8704834411076956},{'smape': 0.18632120370082947},205.31256547868688
92,{'mase': 1.8503940812898225},{'smape': 0.18432193598250837},203.1049053413227
93,{'mase': 1.8336676243466261},{'smape': 0.1829459690168835},200.97430916053142
94,{'mase': 1.8229887699249583},{'smape': 0.1827946339468676},199.11714650591966
95,{'mase': 1.845376207077964},{'smape': 0.18825290811499276},203.05440238861286
96,{'mase': 1.830916605927567},{'smape': 0.18732197399728615},201.03498811750387
97,{'mase': 1.812450489077928},{'smape': 0.18545430004163488},198.98377901496065
98,{'mase': 1.7955169265103255},{'smape': 0.1838679258082104},196.98067795106365
99,{'mase': 1.788929084780991},{'smape': 0.18482811587032227},195.48348304883734
100,{'mase': 1.7951453449244965},{'smape': 0.18841068757477392},195.66313639317957
101,{'mase': 1.804791855556549},{'smape': 0.19286387111296033},196.5143155039319
102,{'mase': 1.8060059436847569},{'smape': 0.19455071449371744},195.92890642896805
103,{'mase': 1.8075701077062831},{'smape': 0.19594495194541592},195.4080015093546
104,{'mase': 1.7935083738698367},{'smape': 0.19457251342613402},193.58515736571366
105,{'mase': 1.7826217689650663},{'smape': 0.19386384555549066},191.90000650299825
106,{'mase': 1.7719639915738874},{'smape': 0.19305501800263383},190.24754176245634
107,{'mase': 1.7642389711699693},{'smape': 0.19253944684180832},188.78374347071409
108,{'mase': 1.7577572405756268},{'smape': 0.1926951933444034},187.42719733506578
109,{'mase': 1.7525739355327712},{'smape': 0.1932992083346202},186.19226852996468
110,{'mase': 1.7441013643413914},{'smape': 0.19303487530210053},184.73218277831253
111,{'mase': 1.7422254970891051},{'smape': 0.19369596410022671},183.851251312569
112,{'mase': 1.7336809282150751},{'smape': 0.19306009869671975},182.41950480286388
113,{'mase': 1.7486424499432034},{'smape': 0.196180735114303},184.61442130148671
114,{'mase': 1.763802089070903},{'smape': 0.19934565037445767},186.88735563433605
