,tnn_mase_forecast_power,tnn_smape_forecast_power,tnn_mse_forecast_power
0,{'mase': 0.860837315731603},{'smape': 0.1357445103606957},129.91771210524422
1,{'mase': 0.9179121693840773},{'smape': 0.14801089960126443},148.2872974858196
2,{'mase': 0.9554538588328659},{'smape': 0.1562139298624962},160.92107885222296
3,{'mase': 0.8228671216825879},{'smape': 0.13607222296541224},128.61148455083014
4,{'mase': 0.8310287226141609},{'smape': 0.13888419393043544},129.0443117675809
5,{'mase': 0.6946389927317438},{'smape': 0.1161361347034494},107.54163211635377
6,{'mase': 0.651859296195306},{'smape': 0.1098800904283216},96.0898363210569
7,{'mase': 0.6650588505708792},{'smape': 0.11301723848507636},96.65193172869478
8,{'mase': 0.8208517479622045},{'smape': 0.13748146315605542},169.15553404971322
9,{'mase': 0.8514259833422563},{'smape': 0.1433433952297723},174.49155290750707
10,{'mase': 0.8513395158946878},{'smape': 0.143929283108815},170.15673597919843
11,{'mase': 0.7941570733819208},{'smape': 0.13450713650416046},156.37548473871854
12,{'mase': 0.7495413311637138},{'smape': 0.1272458517593374},144.96508278856055
13,{'mase': 0.7250912317518337},{'smape': 0.12351495038838058},136.68724839068858
14,{'mase': 0.6914826943021427},{'smape': 0.11812713560446127},128.14542179197625
15,{'mase': 0.6675262692747544},{'smape': 0.11427456675122132},121.17700575852135
16,{'mase': 0.6379957845627418},{'smape': 0.10935622534684301},114.33144537568074
17,{'mase': 0.638143193293635},{'smape': 0.10963135252835082},111.97725317376879
18,{'mase': 0.6658367086364456},{'smape': 0.11443508763104589},118.59254645027369
19,{'mase': 0.6657747423161992},{'smape': 0.1146644787146116},116.53471678424039
20,{'mase': 0.6555785361297418},{'smape': 0.1131510830342687},112.68845913683063
21,{'mase': 0.6293476624597624},{'smape': 0.10871307128768236},107.61536245682466
22,{'mase': 0.6161982248003267},{'smape': 0.10672561669001598},103.75105376235288
23,{'mase': 0.6245869416043278},{'smape': 0.10864668767057974},104.31033523786068
24,{'mase': 0.6280319764595319},{'smape': 0.10958051855280448},103.68012808004335
25,{'mase': 0.606548076939283},{'smape': 0.10588853831274274},99.72495513601505
26,{'mase': 0.5894404197958352},{'smape': 0.10299470302734237},96.16728403105179
27,{'mase': 0.6353022249888289},{'smape': 0.11049744398296156},114.71174043605075
28,{'mase': 0.6387279146296395},{'smape': 0.11133435962589519},114.01892686084543
29,{'mase': 0.6616920211664133},{'smape': 0.11554353293563609},120.51913058153056
30,{'mase': 0.6778791537205734},{'smape': 0.11852509830464325},124.28723388430612
31,{'mase': 0.6825789458749804},{'smape': 0.11957639259673684},124.16182323294515
32,{'mase': 0.6803913762862803},{'smape': 0.11935632588971147},122.37870518875657
33,{'mase': 0.6829475180730928},{'smape': 0.11990882932782417},121.81516347936855
34,{'mase': 0.6680696606173321},{'smape': 0.11739044181296711},118.46655045235056
35,{'mase': 0.669615489293483},{'smape': 0.11775653908655172},117.72654057028252
36,{'mase': 0.6695575434684685},{'smape': 0.11783789168889225},116.6557497450233
37,{'mase': 0.6727386916420806},{'smape': 0.11854114372028048},116.46844125937444
38,{'mase': 0.6610965958296116},{'smape': 0.1165900231420585},113.69707510341242
39,{'mase': 0.6501948451607519},{'smape': 0.11481703130208425},111.0765875134297
40,{'mase': 0.6358663574850502},{'smape': 0.11231458496702748},108.38422729773684
41,{'mase': 0.6209690451891936},{'smape': 0.10968731533260433},105.80408298772598
42,{'mase': 0.6132777733152774},{'smape': 0.10841583753835402},103.68698965869424
43,{'mase': 0.6051962441362846},{'smape': 0.10713203556725559},101.5950546505626
44,{'mase': 0.5961527963590088},{'smape': 0.10559592418820671},99.49049584128906
45,{'mase': 0.5834127501912109},{'smape': 0.10334375431559926},97.32804859079675
46,{'mase': 0.571873117439095},{'smape': 0.10132077934618004},95.26352481880629
47,{'mase': 0.5635468238311852},{'smape': 0.09992348363399688},93.38718736641779
48,{'mase': 0.5655856085826463},{'smape': 0.10081634830246748},93.05618932491875
49,{'mase': 0.5554395134337051},{'smape': 0.09904111884902292},91.20697541467676
50,{'mase': 0.5562600093015186},{'smape': 0.09942067186223542},90.64496553400437
51,{'mase': 0.549339499356986},{'smape': 0.09828056984527159},89.03183271746505
52,{'mase': 0.5435580817632272},{'smape': 0.09740929969110224},87.54719226619358
53,{'mase': 0.5433191256214894},{'smape': 0.09757976526572916},86.84017887442667
54,{'mase': 0.5394300291106865},{'smape': 0.09714280160057083},85.60717379947152
55,{'mase': 0.5569353802029997},{'smape': 0.10219605754591951},91.30900893880587
56,{'mase': 0.5770174165943495},{'smape': 0.10805751634643618},98.61287237898922
57,{'mase': 0.5823721253281842},{'smape': 0.10979321237976176},99.29399894724953
58,{'mase': 0.5775534515706561},{'smape': 0.10902939407262836},97.8750545382782
59,{'mase': 0.5748809073559078},{'smape': 0.10871815944358186},96.7523897995168
60,{'mase': 0.5816141277136151},{'smape': 0.11061231761884559},97.95821072756536
61,{'mase': 0.5916294787673332},{'smape': 0.11342380936574194},100.46756625100231
62,{'mase': 0.5914710111260315},{'smape': 0.11372745022909914},99.81430450461104
63,{'mase': 0.6038825728080699},{'smape': 0.11749875756537399},103.51553044543839
64,{'mase': 0.6162162505802516},{'smape': 0.12115204701809154},107.25164767738816
65,{'mase': 0.6322168980779544},{'smape': 0.12572845482323558},113.05491463423859
66,{'mase': 0.6470577303509334},{'smape': 0.129892645875976},118.29041287893018
