,seq_len,n_units,learning rate,MASE,SMAPE
0,12,64,0.0005,{'mase': 1.9354085002020198},{'smape': 0.19121227368456628}
1,12,64,0.001,{'mase': 1.913377499744052},{'smape': 0.1883406220377577}
2,12,64,0.005,{'mase': 1.9559097892014043},{'smape': 0.1943955857856023}
3,12,128,0.0005,{'mase': 1.6093805840492306},{'smape': 0.16600612921193197}
4,12,128,0.001,{'mase': 2.9888683989763125},{'smape': 0.27615266416154866}
5,12,128,0.005,{'mase': 2.976509507978331},{'smape': 0.28058490908968337}
6,12,192,0.0005,{'mase': 2.3951490740107038},{'smape': 0.23241293195178722}
7,12,192,0.001,{'mase': 1.6544436710132309},{'smape': 0.1675905220932078}
8,12,192,0.005,{'mase': 1.4176606532068161},{'smape': 0.14926198767462256}
9,24,64,0.0005,{'mase': 1.8931014707725822},{'smape': 0.18982984444560724}
10,24,64,0.001,{'mase': 1.3299088221451234},{'smape': 0.13815861665475543}
11,24,64,0.005,{'mase': 1.8396534585485107},{'smape': 0.18566127827347245}
12,24,128,0.0005,{'mase': 1.68873230216545},{'smape': 0.16888213232020802}
13,24,128,0.001,{'mase': 2.281189443014142},{'smape': 0.22623468632195878}
14,24,128,0.005,{'mase': 2.057156719060001},{'smape': 0.20386001886777205}
15,24,192,0.0005,{'mase': 1.7937334752358252},{'smape': 0.19066907264363744}
16,24,192,0.001,{'mase': 2.007993645101463},{'smape': 0.1997693904256632}
17,24,192,0.005,{'mase': 1.5112832477808162},{'smape': 0.1566108572888338}
18,48,64,0.0005,{'mase': 2.1284748110056912},{'smape': 0.2092090254052909}
19,48,64,0.001,{'mase': 1.5488481957022389},{'smape': 0.1570067212412617}
20,48,64,0.005,{'mase': 1.6800842277533428},{'smape': 0.16934610807014205}
21,48,128,0.0005,{'mase': 1.4297966249058243},{'smape': 0.14687970689047475}
22,48,128,0.001,{'mase': 1.5375021428326154},{'smape': 0.15572689658779276}
23,48,128,0.005,{'mase': 1.8460960073487909},{'smape': 0.1879900588450032}
24,48,192,0.0005,{'mase': 1.5896115976642402},{'smape': 0.1661059881004923}
25,48,192,0.001,{'mase': 1.34979792298709},{'smape': 0.13726353586388682}
26,48,192,0.005,{'mase': 2.4190598479267322},{'smape': 0.23133460297015074}
