,seq_len,n_units,learning rate,MASE,SMAPE
0,12,64,0.0005,{'mase': 3.2392184135448963},{'smape': 0.3188847856935525}
1,12,64,0.001,{'mase': 1.9927040105099096},{'smape': 0.21941054091780468}
2,12,64,0.005,{'mase': 1.3561610690694654},{'smape': 0.15241622789986092}
3,12,128,0.0005,{'mase': 1.4294066115360695},{'smape': 0.17341673738411564}
4,12,128,0.001,{'mase': 2.9720427649801615},{'smape': 0.29342355221896915}
5,12,128,0.005,{'mase': 1.4389585377912357},{'smape': 0.16100261570030397}
6,12,192,0.0005,{'mase': 2.282418398594365},{'smape': 0.23578908409862553}
7,12,192,0.001,{'mase': 2.8024450288832408},{'smape': 0.37386118120328854}
8,12,192,0.005,{'mase': 2.01661958055704},{'smape': 0.24907115252606696}
9,24,64,0.0005,{'mase': 3.420705259599128},{'smape': 0.322331777421934}
10,24,64,0.001,{'mase': 1.707841144199173},{'smape': 0.199347713835864}
11,24,64,0.005,{'mase': 1.3464484974485795},{'smape': 0.15425359344902864}
12,24,128,0.0005,{'mase': 1.7045174268159353},{'smape': 0.1878168748132867}
13,24,128,0.001,{'mase': 1.823430030275529},{'smape': 0.21436597200057805}
14,24,128,0.005,{'mase': 2.6504096259300143},{'smape': 0.26582589965531}
15,24,192,0.0005,{'mase': 2.1368750009046975},{'smape': 0.248170065773862}
16,24,192,0.001,{'mase': 2.8981678460871803},{'smape': 0.2822422762217976}
17,24,192,0.005,{'mase': 1.62785082435742},{'smape': 0.1751627805054095}
18,48,64,0.0005,{'mase': 2.1339782003975367},{'smape': 0.26274682476391337}
19,48,64,0.001,{'mase': 2.248031538983202},{'smape': 0.28101410654876086}
20,48,64,0.005,{'mase': 1.4273031977084751},{'smape': 0.1511990731383871}
21,48,128,0.0005,{'mase': 1.6343596727626906},{'smape': 0.17086358892946982}
22,48,128,0.001,{'mase': 2.3936629175939674},{'smape': 0.22995922437848487}
23,48,128,0.005,{'mase': 1.2719022978145544},{'smape': 0.13776347953701096}
24,48,192,0.0005,{'mase': 2.22586945495987},{'smape': 0.22243572818524596}
25,48,192,0.001,{'mase': 3.3137345641753093},{'smape': 0.3657103589821238}
26,48,192,0.005,{'mase': 2.5781271632469913},{'smape': 0.25229456015057655}
