,num_layers,lr,H,MASE,SMAPE
0,1,5e-05,4,{'mase': 1.0727679213971333},{'smape': 0.11101033757643404}
1,1,5e-05,8,{'mase': 3.4304205477606153},{'smape': 0.3118812533886496}
2,1,5e-05,16,{'mase': 2.4665703199601006},{'smape': 0.2367383173040202}
3,1,0.0001,4,{'mase': 1.8400717135418039},{'smape': 0.1847651870328682}
4,1,0.0001,8,{'mase': 1.4413488697476593},{'smape': 0.14800547991536747}
5,1,0.0001,16,{'mase': 1.3975962182319979},{'smape': 0.14386312956429664}
6,1,0.0005,4,{'mase': 2.1854605375002962},{'smape': 0.21495805893109993}
7,1,0.0005,8,{'mase': 1.1835614617762586},{'smape': 0.12276746752382513}
8,1,0.0005,16,{'mase': 1.4214578013986074},{'smape': 0.146376824676101}
9,2,5e-05,4,{'mase': 1.409709646244131},{'smape': 0.14543681661518085}
10,2,5e-05,8,{'mase': 1.2571294482678392},{'smape': 0.13021311694112678}
11,2,5e-05,16,{'mase': 3.024147446433334},{'smape': 0.2811510209662569}
12,2,0.0001,4,{'mase': 2.345797915342015},{'smape': 0.22790876766369403}
13,2,0.0001,8,{'mase': 1.3240752330207441},{'smape': 0.13709693953144816}
14,2,0.0001,16,{'mase': 1.9066820272698615},{'smape': 0.19134751119480442}
15,2,0.0005,4,{'mase': 1.2777863555548854},{'smape': 0.1341476675592183}
16,2,0.0005,8,{'mase': 1.7050804918512266},{'smape': 0.17282844700520608}
17,2,0.0005,16,{'mase': 1.8424969992382625},{'smape': 0.18514068112915824}
18,3,5e-05,4,{'mase': 1.6826352837329874},{'smape': 0.17104695360857208}
19,3,5e-05,8,{'mase': 1.4583642330069155},{'smape': 0.15629868139022596}
20,3,5e-05,16,{'mase': 1.7946732537642665},{'smape': 0.18077927210012676}
21,3,0.0001,4,{'mase': 2.470389595247714},{'smape': 0.238347091450349}
22,3,0.0001,8,{'mase': 1.7768902465520737},{'smape': 0.17903920469069012}
23,3,0.0001,16,{'mase': 1.8533230753244918},{'smape': 0.20077772933329377}
24,3,0.0005,4,{'mase': 2.736959611527978},{'smape': 0.2589300889886505}
25,3,0.0005,8,{'mase': 1.7191897428807517},{'smape': 0.18892180297798047}
26,3,0.0005,16,{'mase': 2.240608493741897},{'smape': 0.21768891479902494}
